13.08.2019 14:30:47 SYSTEM START
13.08.2019 14:30:48 A: START STARTED
13.08.2019 14:30:49 B: START STARTED
13.08.2019 14:30:49 C: START STARTED
13.08.2019 14:30:49 D: START STARTED
13.08.2019 14:30:50 E: START STARTED
13.08.2019 14:30:50 F: START STARTED
13.08.2019 14:30:51 G: START STARTED
13.08.2019 14:30:52 H: START STARTED
13.08.2019 14:30:53 I: START STARTED
13.08.2019 14:30:53 J: START STARTED
13.08.2019 14:30:53 K: START STARTED
13.08.2019 14:30:54 L: START STARTED
13.08.2019 14:30:55 G: START COMPLETE
13.08.2019 14:30:55 M: START STARTED
13.08.2019 14:30:55 N: START STARTED
13.08.2019 14:30:56 O: START STARTED
13.08.2019 14:30:56 P: START STARTED
13.08.2019 14:30:56 Q: START STARTED
13.08.2019 14:30:57 R: START STARTED
13.08.2019 14:30:58 S: START STARTED
13.08.2019 14:30:59 T: START STARTED
13.08.2019 14:30:59 U: START STARTED
13.08.2019 14:31:00 V: START STARTED
13.08.2019 14:31:01 W: START STARTED
13.08.2019 14:31:02 X: START STARTED
13.08.2019 14:31:03 Y: START STARTED
13.08.2019 14:31:04 Z: START STARTED
13.08.2019 14:31:10 E: START COMPLETE
13.08.2019 14:31:10 V: START COMPLETE
13.08.2019 14:31:11 K: START COMPLETE
13.08.2019 14:31:11 L: START COMPLETE
13.08.2019 14:31:11 U: START COMPLETE
13.08.2019 14:31:12 D: START COMPLETE
13.08.2019 14:31:19 H: START COMPLETE
13.08.2019 14:31:21 I: START COMPLETE
13.08.2019 14:31:23 B: START COMPLETE
13.08.2019 14:31:29 Z: START COMPLETE
13.08.2019 14:31:31 Q: START COMPLETE
13.08.2019 14:31:32 N: START COMPLETE
13.08.2019 14:31:33 W: START COMPLETE
13.08.2019 14:31:35 S: START COMPLETE
13.08.2019 14:31:35 Y: START COMPLETE
13.08.2019 14:31:38 A: START COMPLETE
13.08.2019 14:31:40 M: START COMPLETE
13.08.2019 14:31:42 P: START COMPLETE
13.08.2019 14:31:44 R: START COMPLETE
13.08.2019 14:31:49 C: START COMPLETE
13.08.2019 14:31:50 F: START COMPLETE
13.08.2019 14:31:52 T: START COMPLETE
13.08.2019 14:31:53 J: START COMPLETE
13.08.2019 14:31:54 X: START COMPLETE
13.08.2019 14:31:55 O: START COMPLETE
13.08.2019 15:18:29 A: STOP STARTED
13.08.2019 15:18:30 B: STOP STARTED
13.08.2019 15:18:31 C: STOP STARTED
13.08.2019 15:18:31 D: STOP STARTED
13.08.2019 15:18:32 E: STOP STARTED
13.08.2019 15:18:33 F: STOP STARTED
13.08.2019 15:18:34 G: STOP STARTED
13.08.2019 15:18:34 H: STOP STARTED
13.08.2019 15:18:34 I: STOP STARTED
13.08.2019 15:18:35 A: STOP COMPLETE
13.08.2019 15:18:35 J: STOP STARTED
13.08.2019 15:18:35 K: STOP STARTED
13.08.2019 15:18:36 L: STOP STARTED
13.08.2019 15:18:37 M: STOP STARTED
13.08.2019 15:18:38 N: STOP STARTED
13.08.2019 15:18:39 O: STOP STARTED
13.08.2019 15:18:39 P: STOP STARTED
13.08.2019 15:18:40 Q: STOP STARTED
13.08.2019 15:18:41 R: STOP STARTED
13.08.2019 15:18:41 S: STOP STARTED
13.08.2019 15:18:41 T: STOP STARTED
13.08.2019 15:18:41 U: STOP STARTED
13.08.2019 15:18:42 V: STOP STARTED
13.08.2019 15:18:42 W: STOP STARTED
13.08.2019 15:18:43 P: STOP COMPLETE
13.08.2019 15:18:43 X: STOP STARTED
13.08.2019 15:18:43 Y: STOP STARTED
13.08.2019 15:18:43 Z: STOP STARTED
13.08.2019 15:18:50 B: STOP COMPLETE
13.08.2019 15:18:51 H: STOP COMPLETE
13.08.2019 15:18:52 C: STOP COMPLETE
13.08.2019 15:18:53 K: STOP COMPLETE
13.08.2019 15:19:00 O: STOP COMPLETE
13.08.2019 15:19:00 Q: STOP COMPLETE
13.08.2019 15:19:00 T: STOP COMPLETE
13.08.2019 15:19:01 N: STOP COMPLETE
13.08.2019 15:19:02 J: STOP COMPLETE
13.08.2019 15:19:03 L: STOP COMPLETE
13.08.2019 15:19:04 X: STOP COMPLETE
13.08.2019 15:19:07 E: STOP COMPLETE
13.08.2019 15:19:08 Y: STOP COMPLETE
13.08.2019 15:19:08 Z: STOP COMPLETE
13.08.2019 15:19:10 G: STOP COMPLETE
13.08.2019 15:19:13 W: STOP COMPLETE
13.08.2019 15:19:14 S: STOP COMPLETE
13.08.2019 15:19:16 U: STOP COMPLETE
13.08.2019 15:19:18 F: STOP COMPLETE
13.08.2019 15:19:18 M: STOP COMPLETE
13.08.2019 15:19:22 D: STOP COMPLETE
13.08.2019 15:19:28 I: STOP COMPLETE
13.08.2019 15:19:28 V: STOP COMPLETE
13.08.2019 15:19:30 R: STOP COMPLETE
13.08.2019 15:24:47 SYSTEM START
13.08.2019 15:24:48 A: START STARTED
13.08.2019 15:24:48 B: START STARTED
13.08.2019 15:24:49 C: START STARTED
13.08.2019 15:24:50 B: START COMPLETE
13.08.2019 15:24:50 D: START STARTED
13.08.2019 15:24:51 E: START STARTED
13.08.2019 15:24:52 F: START STARTED
13.08.2019 15:24:53 G: START STARTED
13.08.2019 15:24:54 H: START STARTED
13.08.2019 15:24:55 F: START COMPLETE
13.08.2019 15:24:55 I: START STARTED
13.08.2019 15:24:55 J: START STARTED
13.08.2019 15:24:55 K: START STARTED
13.08.2019 15:24:56 L: START STARTED
13.08.2019 15:24:57 M: START STARTED
13.08.2019 15:24:57 N: START STARTED
13.08.2019 15:24:58 O: START STARTED
13.08.2019 15:24:58 P: START STARTED
13.08.2019 15:24:58 Q: START STARTED
13.08.2019 15:24:59 R: START STARTED
13.08.2019 15:24:59 S: START STARTED
13.08.2019 15:25:00 T: START STARTED
13.08.2019 15:25:00 U: START STARTED
13.08.2019 15:25:00 V: START STARTED
13.08.2019 15:25:00 W: START STARTED
13.08.2019 15:25:01 X: START STARTED
13.08.2019 15:25:02 Y: START STARTED
13.08.2019 15:25:02 Z: START STARTED
